category,description,benefit_basis,value,pds_page,captured_on
gp_out_of_hospital,Out of hospital GP consultation listed on the MBS,percent_of_mbs,100,Member Guide p.17,2026-09-21
specialist_out_of_hospital,Out of hospital specialist consultation listed on the MBS,percent_of_mbs,85,Member Guide p.17,2026-09-21
pathology_out_of_hospital,Out of hospital pathology listed on the MBS,percent_of_mbs,85,Member Guide p.17,2026-09-21
prescription_pbs,Prescription medicine,abstain,,Member Guide p.24 (amounts in Cover Summary only),2026-09-21
hospital_accommodation,Hospital accommodation,abstain,,Member Guide p.19 (depends on hospital type),2026-09-21
ambulance,Emergency ambulance transport,abstain,,Member Guide p.25 (no amount stated),2026-09-21
